iter	Passed	Remaining
401	14073	20935
402	14107	20899
403	14142	20863
404	14175	20826
405	14211	20792
406	14247	20758
407	14280	20720
408	14314	20684
409	14354	20656
410	14384	20614
411	14418	20578
412	14458	20549
413	14489	20509
414	14523	20473
415	14555	20433
416	14592	20401
417	14629	20369
418	14663	20332
419	14696	20295
420	14733	20262
421	14766	20224
422	14804	20193
423	14844	20166
424	14876	20127
425	14908	20087
426	14941	20049
427	14980	20021
428	15019	19991
429	15058	19960
430	15090	19922
431	15123	19885
432	15154	19844
433	15184	19803
434	15218	19765
435	15250	19727
436	15284	19692
437	15324	19662
438	15364	19634
439	15399	19599
440	15436	19566
441	15467	19527
442	15503	19493
443	15534	19453
444	15567	19416
445	15606	19386
446	15640	19349
447	15674	19313
448	15709	19278
449	15744	19243
450	15780	19209
451	15813	19172
452	15847	19136
453	15884	19103
454	15912	19059
455	15948	19026
456	15982	18990
457	16015	18952
458	16048	18915
459	16082	18879
460	16118	18845
461	16151	18808
462	16186	18773
463	16222	18739
464	16259	18707
465	16292	18670
466	16327	18635
467	16359	18596
468	16394	18561
469	16429	18526
470	16458	18484
471	16494	18451
472	16526	18412
473	16559	18375
474	16597	18345
475	16631	18308
476	16667	18274
477	16699	18237
478	16736	18203
479	16769	18167
480	16805	18133
481	16842	18100
482	16876	18064
483	16912	18030
484	16948	17997
485	16987	17966
486	17022	17931
487	17058	17897
488	17103	17872
489	17134	17834
490	17169	17799
491	17203	17763
492	17235	17724
493	17276	17695
494	17311	17661
495	17342	17622
496	17376	17586
497	17415	17555
498	17445	17515
499	17479	17479
500	17512	17442
501	17544	17404
502	17580	17370
503	17612	17332
504	17645	17296
505	17681	17262
506	17715	17226
507	17748	17189
508	17782	17154
509	17819	17120
510	17854	17085
511	17887	17048
512	17922	17013
513	17957	16978
514	17981	16934
515	18002	16886
516	18034	16848
517	18067	16811
518	18100	16775
519	18133	16738
520	18166	16701
521	18199	16665
522	18240	16635
523	18280	16605
524	18318	16574
525	18352	16538
526	18385	16501
527	18423	16469
528	18464	16440
529	18504	16409
530	18537	16372
531	18569	16335
532	18607	16303
533	18639	16265
534	18672	16229
535	18701	16189
536	18734	16152
537	18770	16118
538	18801	16080
539	18834	16044
540	18868	16008
541	18897	15969
542	18931	15933
543	18964	15897
544	18998	15861
545	19032	15825
546	19062	15787
547	19096	15750
548	19129	15714
549	19164	15679
550	19195	15642
551	19234	15610
552	19270	15576
553	19316	15551
554	19347	15512
555	19380	15476
556	19417	15443
557	19456	15411
558	19489	15375
559	19528	15343
560	19562	15308
561	19590	15268
562	19622	15231
563	19654	15194
564	19691	15160
565	19720	15121
566	19758	15088
567	19792	15053
568	19828	15019
569	19863	14984
570	19897	14949
571	19931	14913
572	19965	14878
573	20003	14846
574	20038	14810
575	20070	14773
576	20103	14738
577	20138	14702
578	20167	14663
579	20201	14628
580	20234	14592
581	20270	14558
582	20304	14522
583	20336	14485
584	20373	14452
585	20409	14418
586	20440	14381
587	20477	14348
588	20515	14315
589	20547	14278
590	20576	14239
591	20600	14197
592	20634	14162
593	20665	14125
594	20703	14092
595	20738	14057
596	20770	14021
597	20806	13987
598	20844	13954
599	20877	13918
600	20911	13883
601	20950	13850
602	20986	13817
603	21019	13780
604	21051	13744
605	21084	13708
606	21121	13675
607	21153	13638
608	21188	13603
609	21223	13569
610	21258	13534
611	21292	13499
612	21326	13464
613	21365	13431
614	21401	13397
615	21434	13362
616	21470	13327
617	21503	13291
618	21552	13265
619	21586	13230
620	21616	13192
621	21652	13158
622	21687	13123
623	21726	13091
624	21759	13055
625	21791	13019
626	21828	12985
627	21861	12949
628	21893	12913
629	21922	12875
630	21956	12839
631	21987	12803
632	22017	12765
633	22053	12731
634	22083	12693
635	22123	12662
636	22158	12627
637	22193	12592
638	22229	12558
639	22265	12524
640	22302	12491
641	22336	12455
642	22369	12420
643	22405	12385
644	22442	12352
645	22477	12317
646	22517	12285
647	22557	12253
648	22592	12218
649	22626	12183
650	22657	12146
651	22696	12114
652	22726	12076
653	22758	12040
654	22792	12005
655	22827	11970
656	22861	11935
657	22898	11901
658	22931	11865
659	22966	11830
660	22999	11795
661	23033	11760
662	23064	11723
663	23103	11690
664	23134	11654
665	23169	11619
666	23199	11582
667	23231	11546
668	23265	11511
669	23301	11476
670	23340	11443
671	23379	11411
672	23413	11376
673	23447	11341
674	23481	11305
675	23513	11269
676	23546	11234
677	23584	11200
678	23616	11164
679	23645	11127
680	23681	11092
681	23714	11057
682	23750	11023
683	23790	10991
684	23823	10955
685	23853	10918
686	23892	10885
687	23924	10849
688	23963	10816
689	23997	10781
690	24032	10746
691	24068	10712
692	24100	10676
693	24134	10641
694	24167	10605
695	24204	10572
696	24238	10537
697	24269	10500
698	24301	10464
699	24336	10429
700	24372	10395
701	24405	10360
702	24441	10325
703	24477	10291
704	24509	10255
705	24541	10219
706	24579	10186
707	24616	10152
708	24651	10117
709	24685	10082
710	24720	10047
711	24757	10014
712	24794	9980
713	24828	9945
714	24862	9910
715	24897	9875
716	24931	9840
717	24965	9805
718	25000	9770
719	25036	9736
720	25068	9700
721	25104	9666
722	25143	9633
723	25174	9597
724	25212	9563
725	25248	9529
726	25282	9493
727	25316	9458
728	25355	9425
729	25387	9390
730	25421	9354
731	25455	9319
732	25486	9283
733	25523	9249
734	25553	9213
735	25582	9176
736	25618	9142
737	25651	9106
738	25683	9071
739	25716	9035
740	25750	9000
741	25789	8967
742	25823	8932
743	25857	8897
744	25888	8861
745	25923	8826
746	25951	8789
747	25995	8757
748	26025	8721
749	26052	8684
750	26088	8649
751	26125	8615
752	26158	8580
753	26196	8546
754	26231	8512
755	26269	8478
756	26302	8443
757	26340	8409
758	26373	8374
759	26411	8340
760	26444	8305
761	26482	8271
762	26517	8236
763	26552	8202
764	26588	8167
765	26623	8132
766	26659	8098
767	26694	8063
768	26725	8028
769	26762	7993
770	26794	7958
771	26833	7925
772	26869	7890
773	26904	7855
774	26935	7820
775	26970	7785
776	27007	7751
777	27040	7715
778	27073	7680
779	27109	7646
780	27145	7611
781	27177	7576
782	27213	7541
783	27250	7507
784	27285	7473
785	27318	7437
786	27351	7402
787	27390	7368
788	27423	7333
789	27457	7298
790	27494	7264
791	27530	7230
792	27560	7194
793	27595	7159
794	27629	7124
795	27669	7091
796	27703	7056
797	27735	7020
798	27772	6986
799	27806	6951
800	27842	6917
801	27874	6881
802	27904	6845
803	27935	6810
804	27974	6776
805	28007	6741
806	28037	6705
807	28072	6670
808	28104	6635
809	28139	6600
810	28172	6565
811	28216	6532
812	28251	6498
813	28284	6462
814	28319	6428
815	28354	6393
816	28385	6358
817	28424	6324
818	28459	6289
819	28493	6254
820	28532	6220
821	28565	6185
822	28604	6151
823	28633	6115
824	28667	6080
825	28702	6046
826	28738	6011
827	28773	5977
828	28810	5942
829	28847	5908
830	28878	5873
831	28915	5838
832	28951	5804
833	28997	5771
834	29035	5737
835	29067	5702
836	29104	5667
837	29138	5632
838	29175	5598
839	29211	5564
840	29246	5529
841	29279	5494
842	29312	5459
843	29349	5424
844	29384	5389
845	29418	5355
846	29452	5320
847	29490	5285
848	29526	5251
849	29557	5216
850	29589	5180
851	29627	5146
852	29665	5112
853	29699	5077
854	29739	5043
855	29774	5008
856	29816	4975
857	29849	4940
858	29883	4905
859	29918	4870
860	29953	4835
861	29986	4800
862	30020	4765
863	30059	4731
864	30095	4696
865	30126	4661
866	30158	4626
867	30195	4591
868	30226	4556
869	30259	4521
870	30296	4487
871	30334	4452
872	30376	4419
873	30410	4384
874	30444	4349
875	30490	4315
876	30519	4280
877	30551	4245
878	30586	4210
879	30618	4175
880	30648	4139
881	30690	4105
882	30728	4071
883	30762	4036
884	30793	4001
885	30823	3966
886	30857	3931
887	30889	3896
888	30927	3861
889	30957	3826
890	30993	3791
891	31026	3756
892	31064	3722
893	31098	3687
894	31135	3652
895	31173	3618
896	31211	3583
897	31243	3548
898	31277	3513
899	31315	3479
900	31349	3444
901	31382	3409
902	31419	3375
903	31455	3340
904	31489	3305
905	31522	3270
906	31556	3235
907	31587	3200
908	31622	3165
909	31657	3130
910	31694	3096
911	31737	3062
912	31785	3028
913	31830	2994
914	31882	2961
915	31936	2928
916	31992	2895
917	32042	2862
918	32085	2827
919	32130	2793
920	32166	2759
921	32201	2724
922	32238	2689
923	32273	2654
924	32307	2619
925	32345	2584
926	32383	2550
927	32418	2515
928	32460	2480
929	32502	2446
930	32543	2411
931	32581	2377
932	32618	2342
933	32650	2307
934	32683	2272
935	32731	2238
936	32766	2203
937	32799	2168
938	32835	2133
939	32873	2098
940	32911	2063
941	32943	2028
942	32982	1993
943	33022	1958
944	33056	1923
945	33089	1888
946	33123	1853
947	33158	1818
948	33194	1783
949	33229	1748
950	33264	1713
951	33300	1679
952	33334	1643
953	33366	1608
954	33404	1574
955	33441	1539
956	33479	1504
957	33519	1469
958	33553	1434
959	33590	1399
960	33622	1364
961	33659	1329
962	33696	1294
963	33730	1259
964	33765	1224
965	33804	1189
966	33838	1154
967	33869	1119
968	33897	1084
969	33931	1049
970	33963	1014
971	33998	979
972	34032	944
973	34065	909
974	34101	874
975	34136	839
976	34168	804
977	34202	769
978	34236	734
979	34269	699
980	34302	664
981	34339	629
982	34376	594
983	34410	559
984	34445	524
985	34477	489
986	34509	454
987	34535	419
988	34561	384
989	34595	349
990	34624	314
991	34645	279
992	34672	244
993	34704	209
994	34737	174
995	34767	139
996	34795	104
997	34830	69
998	34862	34
999	34899	0

1	0
