model_type,log_loss,accuracy,precision,recall,f1_score,cv_folds,train_rows,timestamp
AdaBoostClassifier,0.797211737225234,0.5979788020704955,0.640625,0.35983479607640684,0.46082644628099173,5,20285,2025-04-06T12:30:51.237035
AdaBoostClassifier,0.797211737225234,0.5979788020704955,0.640625,0.35983479607640684,0.46082644628099173,5,20285,2025-04-06T12:37:35.011632
AdaBoostClassifier,0.797211737225234,0.5979788020704955,0.640625,0.35983479607640684,0.46082644628099173,5,20285,2025-04-06T12:41:45.956824
AdaBoostClassifier,0.797211737225234,0.5979788020704955,0.640625,0.35983479607640684,0.46082644628099173,5,20285,2025-04-06T12:49:58.515849
AdaBoostClassifier,0.797211737225234,0.5979788020704955,0.640625,0.35983479607640684,0.46082644628099173,5,20285,2025-04-06T12:59:43.077525
AdaBoostClassifier,0.797211737225234,0.5979788020704955,0.640625,0.35983479607640684,0.46082644628099173,5,20285,2025-04-06T13:06:00.596391
AdaBoostClassifier,0.797211737225234,0.5979788020704955,0.640625,0.35983479607640684,0.46082644628099173,5,20285,2025-04-06T13:11:34.707212
AdaBoostClassifier,0.797211737225234,0.5979788020704955,0.640625,0.35983479607640684,0.46082644628099173,5,20285,2025-04-06T13:16:35.146505
AdaBoostClassifier,0.797211737225234,0.5979788020704955,0.640625,0.35983479607640684,0.46082644628099173,5,20285,2025-04-06T19:36:14.662042
AdaBoostClassifier,0.797211737225234,0.5979788020704955,0.640625,0.35983479607640684,0.46082644628099173,5,20285,2025-04-09T15:15:09.497760
AdaBoostClassifier,0.797211737225234,0.5979788020704955,0.640625,0.35983479607640684,0.46082644628099173,5,20285,2025-04-12T19:08:26.854128
AdaBoostClassifier,0.797211737225234,0.5979788020704955,0.640625,0.35983479607640684,0.46082644628099173,5,20285,2025-04-12T19:48:43.468152
AdaBoostClassifier,0.797211737225234,0.5979788020704955,0.640625,0.35983479607640684,0.46082644628099173,5,20285,2025-04-13T09:29:35.124040
AdaBoostClassifier,0.797211737225234,0.5979788020704955,0.640625,0.35983479607640684,0.46082644628099173,5,20285,2025-04-13T10:21:47.158635
AdaBoostClassifier,0.797211737225234,0.5979788020704955,0.640625,0.35983479607640684,0.46082644628099173,5,20285,2025-04-13T11:24:59.562442
