model_type,log_loss,accuracy,precision,recall,f1_score,cv_folds,train_rows,timestamp
LogisticRegression,0.7160693009030498,0.5716046339659847,0.5610055180870631,0.4723799690242643,0.5128923766816144,5,20285,2025-04-06T12:31:04.539137
LogisticRegression,0.7160693009030498,0.5716046339659847,0.5610055180870631,0.4723799690242643,0.5128923766816144,5,20285,2025-04-06T12:37:46.892740
LogisticRegression,0.7160693009030498,0.5716046339659847,0.5610055180870631,0.4723799690242643,0.5128923766816144,5,20285,2025-04-06T12:41:59.424869
LogisticRegression,0.7160693009030498,0.5716046339659847,0.5610055180870631,0.4723799690242643,0.5128923766816144,5,20285,2025-04-06T12:50:10.670952
LogisticRegression,0.7160693009030498,0.5716046339659847,0.5610055180870631,0.4723799690242643,0.5128923766816144,5,20285,2025-04-06T12:59:54.966447
LogisticRegression,0.7160693009030498,0.5716046339659847,0.5610055180870631,0.4723799690242643,0.5128923766816144,5,20285,2025-04-06T13:06:14.484376
LogisticRegression,0.7160693009030498,0.5716046339659847,0.5610055180870631,0.4723799690242643,0.5128923766816144,5,20285,2025-04-06T13:11:46.966416
LogisticRegression,0.7160693009030498,0.5716046339659847,0.5610055180870631,0.4723799690242643,0.5128923766816144,5,20285,2025-04-06T13:16:47.260878
LogisticRegression,0.7160693009030498,0.5716046339659847,0.5610055180870631,0.4723799690242643,0.5128923766816144,5,20285,2025-04-06T19:36:24.220142
LogisticRegression,0.7160693009030498,0.5716046339659847,0.5610055180870631,0.4723799690242643,0.5128923766816144,5,20285,2025-04-09T15:17:37.856332
LogisticRegression,0.7160693009030498,0.5716046339659847,0.5610055180870631,0.4723799690242643,0.5128923766816144,5,20285,2025-04-12T19:10:30.842371
LogisticRegression,0.7160693009030498,0.5716046339659847,0.5610055180870631,0.4723799690242643,0.5128923766816144,5,20285,2025-04-12T19:50:46.823790
LogisticRegression,0.7160693009030498,0.5716046339659847,0.5610055180870631,0.4723799690242643,0.5128923766816144,5,20285,2025-04-13T09:31:34.652156
LogisticRegression,0.7160693009030498,0.5716046339659847,0.5610055180870631,0.4723799690242643,0.5128923766816144,5,20285,2025-04-13T10:39:00.337694
LogisticRegression,0.7160693009030498,0.5716046339659847,0.5610055180870631,0.4723799690242643,0.5128923766816144,5,20285,2025-04-13T11:26:56.415467
